"","month","beta0[1]","beta0[2]","beta0[3]","beta1[1]","beta1[2]","beta1[3]","beta2[1]","beta2[2]","beta2[3]","beta3[1]","beta3[2]","beta3[3]"
"1","January","-0.672487613099045","1.55749569398441","-0.910409964845509","0.646045286039267","-0.118194917576071","-0.544768203936571","1.25686158591607","-0.52900301120007","-0.707279020957292","0.722977110174075","0.545559632971876","-1.2967196321392"
"2","February","-0.448878066944305","0.423833521194467","0","-0.154471113621722","0.133617382618164","0","0.904312146897086","-0.880542081563759","0","-0.0107581394077761","-0.0443244343961516","0"
"3","March","0.731597330000986","0.97086857113964","-1.66502791728319","-0.659708511775408","0.518194202170636","0.147608745285976","0.419585730015083","-0.715996434492964","0.335287585047994","-0.0341037648230997","0.626047494366969","-0.619486010415985"
"4","April","-0.160069420077666","1.24210240573274","-0.96916723421149","-0.285826958591756","0.16872897849128","0.109018087996024","0.670942167309132","-0.340460404042791","-0.27442846608959","-0.37428754493588","0.13354881169373","0.234230533731159"
"5","May","-0.328946040488624","1.37922842167098","-1.00050021612101","0.0557310688797317","-0.237806267360951","0.206950605581977","0.891329990847149","-0.500077721935079","-0.49690199264319","-0.177316814959146","-0.0169087455777332","0.0678403852241962"
"6","June","-0.415748836990081","1.38904118588102","-0.811973959025828","0.513523353978227","-0.420505289339424","0.0130218781027202","0.668602745850423","-0.272465375048879","-0.347897909552377","-0.257568008350669","0.0789794943602561","0.29745632704339"
"7","July","-0.60775400197881","1.55582843300258","-0.933952863917555","0.402367208228914","-0.448600004834528","0.122915408350247","0.525688458942718","-0.332721275084228","-0.197169115858487","-0.45120706054043","0.186174653242586","0.0932866726800054"
"8","August","-1.22340788789615","1.5158151068747","-0.180285275959001","0.654373056413571","-0.375668678576358","-0.328040096892113","0.443671575636217","-0.186122413467577","-0.0343648329881922","-0.287400394283308","0.522128982071063","0.229762353348588"
"9","September","-0.571735324436569","0.840742015868218","-0.403937456921823","0.709696897138186","-0.464833956215682","-0.226443213631389","0.340262360925575","-0.340739887385872","-0.25555178505036","-0.743253500423739","0.644854555336574","0.158653090351797"
"10","October","0.024362908751115","1.33706017297197","-1.38012564358438","0.862911347908337","-0.467721019623707","-0.218865646689936","0.356596112960918","-0.15288226920174","-0.0746074254206016","-0.4553714522259","0.345412714409891","0.0319140420825613"
"11","November","0.921236388396004","0.352841923566368","-1.28674739521353","0.603011076365901","-0.355490143893537","-0.196099318475769","0.894309183848445","-0.151110053420113","-0.795800120872985","-0.495189466269996","0.67304904636208","-0.192835882240084"
"12","December","-0.0778593901831438","0.787491890302811","-0.711289160690359","1.06843404393376","-0.345210938141589","-0.758208526786207","0.579277790428448","-0.612822493217235","-0.0445472692049191","-0.022746657728187","0.747635533391205","-0.784776780104066"
